"Field1","Field2_Text","Field3"
"Which country does the most good for the world? | Simon Anholt                                                                                                                              Verified            3.8M views5 years ago","Which country does the most good for the world? | Simon Anholt","3.8M views"
"How to green the world's deserts and reverse climate change | Allan Savory                                                                                                                              Verified            3.8M views6 years ago","How to green the world's deserts and reverse climate change | Allan Savory","3.8M views"
"Depression, the secret we share | Andrew Solomon                                                                                                                              Verified            3.8M views5 years ago","Depression, the secret we share | Andrew Solomon","3.8M views"
"The secret to desire in a long-term relationship | Esther Perel                                                                                                                              Verified            3.7M views6 years ago","The secret to desire in a long-term relationship | Esther Perel","3.7M views"
"The brain-changing benefits of exercise | Wendy Suzuki                                                                                                                              Verified            3.7M views1 year ago","The brain-changing benefits of exercise | Wendy Suzuki","3.7M views"
"Did you hear the one about the Iranian-American? | Maz Jobrani                                                                                                                              Verified            3.6M views9 years ago","Did you hear the one about the Iranian-American? | Maz Jobrani","3.6M views"
"Every kid needs a champion | Rita Pierson                                                                                                                              Verified            3.6M views6 years ago","Every kid needs a champion | Rita Pierson","3.6M views"
"How I hacked online dating | Amy Webb                                                                                                                              Verified            3.6M views6 years ago","How I hacked online dating | Amy Webb","3.6M views"
"The magic of Fibonacci numbers | Arthur Benjamin                                                                                                                              Verified            3.6M views6 years ago","The magic of Fibonacci numbers | Arthur Benjamin","3.6M views"
"Why is our universe fine-tuned for life? | Brian Greene                                                                                                                              Verified            3.6M views7 years ago","Why is our universe fine-tuned for life? | Brian Greene","3.6M views"
"You can grow new brain cells. Here's how | Sandrine Thuret                                                                                                                              Verified            3.5M views4 years ago","You can grow new brain cells. Here's how | Sandrine Thuret","3.5M views"
"The unheard story of David and Goliath | Malcolm Gladwell                                                                                                                              Verified            3.5M views6 years ago","The unheard story of David and Goliath | Malcolm Gladwell","3.5M views"
"The paradox of choice | Barry Schwartz                                                                                                                              Verified            3.5M views12 years ago","The paradox of choice | Barry Schwartz","3.5M views"
"Hidden miracles of the natural world | Louie Schwartzberg                                                                                                                              Verified            3.4M views5 years ago","Hidden miracles of the natural world | Louie Schwartzberg","3.4M views"
"How the mysterious dark net is going mainstream | Jamie Bartlett                                                                                                                              Verified            3.4M views4 years ago","How the mysterious dark net is going mainstream | Jamie Bartlett","3.4M views"
"Sleep is your superpower | Matt Walker                                                                                                                              Verified            3.4M views5 months ago","Sleep is your superpower | Matt Walker","3.4M views"
"A robot that flies like a bird | Markus Fischer                                                                                                                              Verified            3.3M views8 years ago","A robot that flies like a bird | Markus Fischer","3.3M views"
"The nightmare videos of childrens' YouTube — and what's wrong with the internet today | James Bridle                                                                                                                              Verified            3.3M views1 year ago","The nightmare videos of childrens' YouTube — and what's wrong with the internet today | James Bridle","3.3M views"
